TIC_ID,Sector,p_r
3.353603430000000000e+08,1.800000000000000000e+01,8.858970000000000455e-01
3.353603430000000000e+08,2.400000000000000000e+01,8.858970000000000455e-01
2.903198570000000000e+08,1.400000000000000000e+01,8.797239999999999505e-01
2.903198570000000000e+08,1.500000000000000000e+01,8.797239999999999505e-01
2.903198570000000000e+08,1.600000000000000000e+01,8.797239999999999505e-01
3.287463930000000000e+08,1.600000000000000000e+01,7.302629999999999955e-01
3.287463930000000000e+08,1.700000000000000000e+01,7.302629999999999955e-01
3.287463930000000000e+08,2.400000000000000000e+01,7.302629999999999955e-01
3.144636170000000000e+08,1.500000000000000000e+01,2.052969999999999828e+01
3.144636170000000000e+08,1.600000000000000000e+01,2.052969999999999828e+01
3.223808730000000000e+08,1.600000000000000000e+01,7.142549999999999732e-01
3.223808730000000000e+08,1.700000000000000000e+01,7.142549999999999732e-01
3.223808730000000000e+08,1.800000000000000000e+01,7.142549999999999732e-01
3.223808730000000000e+08,2.400000000000000000e+01,7.142549999999999732e-01
3.223808730000000000e+08,2.500000000000000000e+01,7.142549999999999732e-01
4.302370040000000000e+08,1.600000000000000000e+01,3.459009999999999962e+01
1.974765630000000000e+08,1.600000000000000000e+01,5.438830000000000053e-01
2.333982540000000000e+08,1.400000000000000000e+01,5.831309999999999549e-01
2.333982540000000000e+08,1.500000000000000000e+01,5.831309999999999549e-01
2.333982540000000000e+08,1.600000000000000000e+01,5.831309999999999549e-01
1.885274230000000000e+08,1.400000000000000000e+01,1.167470000000000008e+00
1.885274230000000000e+08,1.500000000000000000e+01,1.167470000000000008e+00
2.563498680000000000e+08,1.600000000000000000e+01,1.999400000000000066e+00
2.563498680000000000e+08,1.700000000000000000e+01,1.999400000000000066e+00
2.563498680000000000e+08,1.800000000000000000e+01,1.999400000000000066e+00
2.563498680000000000e+08,2.400000000000000000e+01,1.999400000000000066e+00
2.563498680000000000e+08,2.500000000000000000e+01,1.999400000000000066e+00
3.362688310000000000e+08,1.500000000000000000e+01,3.344480000000000075e+01
3.362688310000000000e+08,1.600000000000000000e+01,3.344480000000000075e+01
1.907444190000000000e+08,1.500000000000000000e+01,9.273770000000000069e-01
1.907444190000000000e+08,1.600000000000000000e+01,9.273770000000000069e-01
1.973661390000000000e+08,1.600000000000000000e+01,1.030499999999999972e+00
1.973661390000000000e+08,1.700000000000000000e+01,1.030499999999999972e+00
1.271414100000000000e+07,2.400000000000000000e+01,1.028399999999999981e+00
6.464737900000000000e+07,1.600000000000000000e+01,2.186270000000000024e+01
6.464737900000000000e+07,1.700000000000000000e+01,2.186270000000000024e+01
2.568003610000000000e+08,1.400000000000000000e+01,1.498220000000000107e+00
2.568003610000000000e+08,1.500000000000000000e+01,1.498220000000000107e+00
2.568003610000000000e+08,1.600000000000000000e+01,1.498220000000000107e+00
2.568003610000000000e+08,1.700000000000000000e+01,1.498220000000000107e+00
2.568003610000000000e+08,2.100000000000000000e+01,1.498220000000000107e+00
2.568003610000000000e+08,2.400000000000000000e+01,1.498220000000000107e+00
3.650992870000000000e+08,1.500000000000000000e+01,9.563519999999999799e-01
3.650992870000000000e+08,1.600000000000000000e+01,9.563519999999999799e-01
3.291818590000000000e+08,1.500000000000000000e+01,2.796499999999999986e+00
3.291818590000000000e+08,1.600000000000000000e+01,2.796499999999999986e+00
3.954629220000000000e+08,1.500000000000000000e+01,5.000000000000000000e+01
3.954629220000000000e+08,1.600000000000000000e+01,5.000000000000000000e+01
4.310706840000000000e+08,1.600000000000000000e+01,8.545550000000000423e+00
2.964631590000000000e+08,1.400000000000000000e+01,3.344480000000000075e+01
2.964631590000000000e+08,1.500000000000000000e+01,3.344480000000000075e+01
2.964631590000000000e+08,1.600000000000000000e+01,3.344480000000000075e+01
3.875314490000000000e+08,1.500000000000000000e+01,9.147790000000000088e-01
3.875314490000000000e+08,1.600000000000000000e+01,9.147790000000000088e-01
3.875314490000000000e+08,1.700000000000000000e+01,9.147790000000000088e-01
3.875314490000000000e+08,1.800000000000000000e+01,9.147790000000000088e-01
3.875314490000000000e+08,2.400000000000000000e+01,9.147790000000000088e-01
3.875314490000000000e+08,2.500000000000000000e+01,9.147790000000000088e-01
1.381458260000000000e+08,1.500000000000000000e+01,7.172979999999999912e-01
1.381458260000000000e+08,1.600000000000000000e+01,7.172979999999999912e-01
2.782033630000000000e+08,1.500000000000000000e+01,4.350100000000000300e+00
2.782033630000000000e+08,1.600000000000000000e+01,4.350100000000000300e+00
3.259935580000000000e+08,1.600000000000000000e+01,2.512559999999999860e+01
6.477917100000000000e+07,1.500000000000000000e+01,1.381429999999999936e+00
6.477917100000000000e+07,1.600000000000000000e+01,1.381429999999999936e+00
3.222667310000000000e+08,1.600000000000000000e+01,7.033139999999999947e-01
3.222667310000000000e+08,1.700000000000000000e+01,7.033139999999999947e-01
3.222667310000000000e+08,1.800000000000000000e+01,7.033139999999999947e-01
3.222667310000000000e+08,2.400000000000000000e+01,7.033139999999999947e-01
3.222667310000000000e+08,2.500000000000000000e+01,7.033139999999999947e-01
4.086352620000000000e+08,1.600000000000000000e+01,1.759139999999999926e+00
4.086352620000000000e+08,1.700000000000000000e+01,1.759139999999999926e+00
4.086352620000000000e+08,2.400000000000000000e+01,1.759139999999999926e+00
3.885521840000000000e+08,1.700000000000000000e+01,4.566419999999999924e+00
3.885521840000000000e+08,2.400000000000000000e+01,4.566419999999999924e+00
2.770094840000000000e+08,1.400000000000000000e+01,6.077549999999999564e+00
